Year,United States,Russia,United Kingdom,France,China,Israel,India,Pakistan,North Korea
1945,2,0,0,0,0,0,0,0,0
1946,9,0,0,0,0,0,0,0,0
1947,13,0,0,0,0,0,0,0,0
1948,50,0,0,0,0,0,0,0,0
1949,170,1,0,0,0,0,0,0,0
1950,299,5,0,0,0,0,0,0,0
1951,438,25,0,0,0,0,0,0,0
1952,841,50,0,0,0,0,0,0,0
1953,"1169",120,1,0,0,0,0,0,0
1954,"1703",150,5,0,0,0,0,0,0
1955,"2422",200,10,0,0,0,0,0,0
1956,"3692",426,50,0,0,0,0,0,0
1957,"5543",660,58,0,0,0,0,0,0
1958,"7345",863,60,0,0,0,0,0,0
1959,"12298","1048",78,0,0,0,0,0,0
1960,"18638","1627",105,0,0,0,0,0,0
1961,"22229","2492",155,0,0,0,0,0,0
1962,"25540","3346",211,0,0,0,0,0,0
1963,"28133","4259",256,0,0,0,0,0,0
1964,"29463","5242",271,4,1,0,0,0,0
1965,"31139","6144",271,32,5,0,0,0,0
1966,"31175","7091",281,36,20,0,0,0,0
1967,"31255","8400",355,36,25,2,0,0,0
1968,"29561","9490",317,36,35,4,0,0,0
1969,"27552","10671",306,36,50,6,0,0,0
1970,"26008","11736",375,36,75,8,0,0,0
1971,"25830","13279",412,45,100,11,0,0,0
1972,"26516","14600",423,70,130,13,0,0,0
1973,"27835","15878",500,116,150,15,0,0,0
1974,"28537","17286",500,145,170,17,0,0,0
1975,"27519","19235",500,188,180,20,0,0,0
1976,"25914","22165",500,212,180,22,0,0,0
1977,"25542","24281",500,228,180,24,0,0,0
1978,"24418","26169",500,235,190,26,0,0,0
1979,"24138","28258",500,235,195,29,0,0,0
1980,"24104","30665",500,250,205,31,0,0,0
1981,"23208","32146",500,274,210,33,0,0,0
1982,"22886","33486",385,274,216,35,0,0,0
1983,"23305","35130",380,279,218,38,0,0,0
1984,"23459","36825",350,280,220,40,0,0,0
1985,"23368","38582",350,360,222,42,0,0,0
1986,"23317","40159",350,355,224,44,0,0,0
1987,"23575","38107",350,420,226,47,0,0,0
1988,"23205","36538",350,410,228,49,0,0,0
1989,"22217","35078",350,410,230,51,0,0,0
1990,"21392","32980",350,505,232,53,0,0,0
1991,"19008","29154",350,540,234,56,0,0,0
1992,"13708","26734",250,540,234,58,0,0,0
1993,"11511","24403",250,525,234,60,0,0,0
1994,"10979","21339",250,510,234,62,0,0,0
1995,"10904","18179",234,500,234,63,0,0,0
1996,"11011","15942",203,450,234,64,0,0,0
1997,"10903","15542",203,450,232,66,0,0,0
1998,"10732","14368",240,450,232,68,3,2,0
1999,"10685","13188",240,450,232,70,8,8,0
2000,"10577","12188",280,470,232,72,13,14,0
2001,"10526","11152",280,350,235,74,18,20,0
2002,"10457","10114",280,350,235,76,23,26,0
2003,"10027","9076",280,350,235,78,28,32,0
2004,"8570","8038",280,350,235,80,33,38,0
2005,"8360","7000",280,350,235,80,38,44,0
2006,"7853","6643",225,350,235,80,43,50,0
2007,"5709","6286",225,350,235,80,50,60,0
2008,"5273","5929",225,300,235,80,60,70,0
2009,"5113","5527",225,300,240,80,70,80,0
2010,"5066","5215",225,300,240,80,80,90,0
2011,"4897","4858",225,300,240,80,90,100,0
2012,"4881","4750",225,300,240,80,100,110,0
2013,"4804","4650",225,300,250,80,110,115,1
2014,"4717","4600",220,300,250,80,100,120,2
2015,"4571","4500",220,300,260,80,110,125,3
2016,"4018","4490",215,300,260,80,120,130,4
2017,"4000","4300",215,300,270,80,130,140,5
2018,"4000","4350",215,300,280,80,135,145,10
2019,"3800","4490",215,300,290,85,140,150,15
2020,"3800","4310",195,290,320,90,150,160,35
2021,"5550","6225",225,290,350,90,156,165,40
2022,"3708","4477",180,290,350,90,160,165,20
